request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
219,phase1-cold,,,,0,,0,true,196,32,0,0,0,0,0,,0,194,4588001,1777048060443889,1777048060578248,1777048061020083,33,ok,,length
223,phase1-prefix-A,,,,0,system-prompt-A,512,true,567,64,0,0,0,0,0,,0,1070,4674275,1777048060529209,1777048060632144,1777048061746488,65,ok,,length
253,phase1-prefix-A,,,,0,system-prompt-A,512,true,392,32,0,0,0,0,0,,0,903,5399014,1777048061254848,1777048061367389,1777048061818912,33,ok,,length
256,phase1-prefix-A,,,,0,system-prompt-A,512,true,623,32,0,0,0,0,0,,0,1124,5492326,1777048061348153,1777048061466863,1777048061894508,33,ok,,length
207,phase1-cold,,,,0,,0,true,314,100,0,0,0,0,0,,0,328,4424578,1777048060280366,1777048060425401,1777048062001807,101,ok,,length
226,phase1-prefix-A,,,,0,system-prompt-A,512,true,694,83,0,0,0,0,0,,0,1198,4757811,1777048060612705,1777048060770691,1777048062061807,84,ok,,length
221,phase1-prefix-A,,,,0,system-prompt-A,512,true,549,101,0,0,0,0,0,,0,1060,4654570,1777048060510138,1777048060583062,1777048062325318,102,ok,,length
234,phase1-cold,,,,0,,0,true,219,90,0,0,0,0,0,,0,206,5018859,1777048060874031,1777048060946577,1777048062340634,91,ok,,length
242,phase1-cold,,,,0,,0,true,239,84,0,0,0,0,0,,0,233,5151212,1777048061006125,1777048061078220,1777048062419910,85,ok,,length
201,phase1-cold,,,,0,,0,true,251,133,0,0,0,0,0,,0,247,4319537,1777048060175160,1777048060243931,1777048062421783,134,ok,,length
254,phase1-prefix-A,,,,0,system-prompt-A,512,true,365,71,0,0,0,0,0,,0,872,5412259,1777048061267286,1777048061389947,1777048062489794,72,ok,,length
203,phase1-prefix-A,,,,0,system-prompt-A,512,true,505,140,0,0,0,0,0,,0,995,4381549,1777048060237203,1777048060348539,1777048062583273,141,ok,,length
277,phase1-prefix-A,,,,0,system-prompt-A,512,true,592,32,0,0,0,0,0,,0,1122,6120437,1777048061975620,1777048062048492,1777048062591660,33,ok,,length
211,phase1-prefix-A,,,,0,system-prompt-A,512,true,455,144,0,0,0,0,0,,0,983,4475677,1777048060331440,1777048060413946,1777048062755843,145,ok,,length
240,phase1-prefix-A,,,,0,system-prompt-A,512,true,607,111,0,0,0,0,0,,0,1123,5113469,1777048060968833,1777048061035673,1777048062829597,112,ok,,length
274,phase1-prefix-A,,,,0,system-prompt-A,512,true,613,61,0,0,0,0,0,,0,1118,6023653,1777048061878759,1777048061965664,1777048062867462,62,ok,,length
243,phase1-cold,,,,0,,0,true,263,121,0,0,0,0,0,,0,248,5176186,1777048061032097,1777048061097276,1777048063072871,122,ok,,length
