request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
2,phase1-prefix-A,,,,0,system-prompt-A,512,true,516,32,0,0,0,0,0,,0,1009,159844,1776954355392889,1776954355455420,1776954355838189,33,ok,,length
6,phase1-prefix-A,,,,0,system-prompt-A,512,true,345,32,0,0,0,0,0,,0,862,337122,1776954355569803,1776954355657606,1776954356017614,33,ok,,length
0,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,71,0,0,0,0,0,,0,1049,20968,1776954355253699,1776954355378978,1776954356176010,72,ok,,length
1,phase1-cold,,,,0,,0,true,297,91,0,0,0,0,0,,0,279,136391,1776954355368963,1776954355415944,1776954356495667,92,ok,,length
3,phase1-cold,,,,0,,0,true,210,92,0,0,0,0,0,,0,227,180257,1776954355413317,1776954355516688,1776954356644888,93,ok,,length
15,phase1-cold,,,,0,,0,true,204,70,0,0,0,0,0,,0,192,1020130,1776954356252847,1776954356319608,1776954357151096,71,ok,,length
25,phase1-prefix-A,,,,0,system-prompt-A,512,true,433,39,0,0,0,0,0,,0,940,1432870,1776954356665817,1776954356724521,1776954357170629,40,ok,,length
4,phase1-prefix-A,,,,0,system-prompt-A,512,true,603,201,0,0,0,0,0,,0,1104,244475,1776954355477269,1776954355550870,1776954357968276,202,ok,,length
11,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,217,0,0,0,0,0,,0,1020,798836,1776954356031727,1776954356091899,1776954358713563,218,ok,,length
33,phase1-cold,,,,0,,0,true,378,146,0,0,0,0,0,,0,394,1957334,1776954357190421,1776954357235571,1776954358976010,147,ok,,length
5,phase1-prefix-A,,,,0,system-prompt-A,512,true,310,296,0,0,0,0,0,,0,823,246195,1776954355478721,1776954355610465,1776954359209829,297,ok,,length
7,phase1-prefix-A,,,,0,system-prompt-A,512,true,505,295,0,0,0,0,0,,0,1013,359423,1776954355592054,1776954355657287,1776954359210047,296,ok,,length
23,phase1-cold,,,,0,,0,true,234,225,0,0,0,0,0,,0,237,1357274,1776954356590010,1776954356643847,1776954359275029,226,ok,,length
24,phase1-cold,,,,0,,0,true,212,228,0,0,0,0,0,,0,218,1362268,1776954356595018,1776954356643913,1776954359309941,229,ok,,length
34,phase1-prefix-A,,,,0,system-prompt-A,512,true,456,203,0,0,0,0,0,,0,987,1983903,1776954357216637,1776954357273026,1776954359730089,204,ok,,length
73,phase1-cold,,,,0,,0,true,186,32,0,0,0,0,0,,0,190,4074526,1776954359307241,1776954359380967,1776954359764620,33,ok,,length
21,phase1-prefix-A,,,,0,system-prompt-A,512,true,558,284,0,0,0,0,0,,0,1053,1285360,1776954356518026,1776954356580816,1776954360033146,285,ok,,length
13,phase1-prefix-A,,,,0,system-prompt-A,512,true,448,347,0,0,0,0,0,,0,952,941675,1776954356175144,1776954356239739,1776954360316024,348,ok,,length
14,phase1-prefix-A,,,,0,system-prompt-A,512,true,668,380,0,0,0,0,0,,0,1168,1006268,1776954356239010,1776954356306093,1776954360786433,381,ok,,length
12,phase1-prefix-A,,,,0,system-prompt-A,512,true,589,391,0,0,0,0,0,,0,1086,926229,1776954356159402,1776954356216547,1776954360855920,392,ok,,length
27,phase1-prefix-A,,,,0,system-prompt-A,512,true,472,416,0,0,0,0,0,,0,976,1633350,1776954356866816,1776954356927314,1776954361866914,417,ok,,length
9,phase1-prefix-A,,,,0,system-prompt-A,512,true,419,108,0,0,0,0,0,,0,935,490209,1776954355722930,1776954355797311,1776954362355819,109,ok,,length
16,phase1-prefix-A,,,,0,system-prompt-A,512,true,633,227,0,0,0,0,0,,0,1154,1088917,1776954356321601,1776954356405050,1776954364052847,228,ok,,length
66,phase1-cold,,,,0,,0,true,237,32,0,0,0,0,0,,0,235,3710412,1776954358943059,1776954362986295,1776954364177879,33,ok,,length
17,phase1-prefix-A,,,,0,system-prompt-A,512,true,471,241,0,0,0,0,0,,0,964,1103016,1776954356335572,1776954356422316,1776954364232129,242,ok,,length
20,phase1-cold,,,,0,,0,true,344,94,0,0,0,0,0,,0,350,1248896,1776954356482073,1776954356552604,1776954364344477,95,ok,,length
32,phase1-cold,,,,0,,0,true,245,63,0,0,0,0,0,,0,268,1828034,1776954357061025,1776954362342299,1776954364541546,64,ok,,length
85,phase1-cold,,,,0,,0,true,189,53,0,0,0,0,0,,0,192,4806219,1776954360039265,1776954363197990,1776954364541642,54,ok,,length
