request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
219,phase1-cold,,,,0,,0,true,196,32,0,0,0,0,0,,0,194,4588001,1777049489866478,1777049495281962,1777049496711957,33,ok,,length
253,phase1-prefix-A,,,,0,system-prompt-A,512,true,392,32,0,0,0,0,0,,0,903,5399014,1777049490677691,1777049495994536,1777049496866407,33,ok,,length
256,phase1-prefix-A,,,,0,system-prompt-A,512,true,623,32,0,0,0,0,0,,0,1124,5492326,1777049490770309,1777049496220541,1777049496915316,33,ok,,length
223,phase1-prefix-A,,,,0,system-prompt-A,512,true,567,64,0,0,0,0,0,,0,1070,4674275,1777049489952886,1777049495381817,1777049497430392,65,ok,,length
479,phase1-prefix-A,,,,0,system-prompt-A,512,true,484,44,0,0,0,0,0,,0,1001,11220441,1777049496498815,1777049496698767,1777049497461964,45,ok,,length
485,phase1-cold,,,,0,,0,true,319,32,0,0,0,0,0,,0,325,11317771,1777049496596385,1777049496670486,1777049497598524,33,ok,,length
254,phase1-prefix-A,,,,0,system-prompt-A,512,true,365,71,0,0,0,0,0,,0,872,5412259,1777049490690159,1777049496199223,1777049497727349,72,ok,,length
513,phase1-cold,,,,0,,0,true,350,32,0,0,0,0,0,,0,353,11788632,1777049497066559,1777049497369350,1777049497782447,33,ok,,length
442,phase1-prefix-A,,,,0,system-prompt-A,512,true,590,125,0,0,0,0,0,,0,1101,10302165,1777049495580062,1777049495697864,1777049497796304,126,ok,,length
226,phase1-prefix-A,,,,0,system-prompt-A,512,true,694,83,0,0,0,0,0,,0,1198,4757811,1777049490036644,1777049495480597,1777049497854110,84,ok,,length
493,phase1-prefix-A,,,,0,system-prompt-A,512,true,386,45,0,0,0,0,0,,0,899,11483589,1777049496761979,1777049496875802,1777049497955480,46,ok,,length
242,phase1-cold,,,,0,,0,true,239,84,0,0,0,0,0,,0,233,5151212,1777049490429073,1777049495890717,1777049497962209,85,ok,,length
207,phase1-cold,,,,0,,0,true,314,100,0,0,0,0,0,,0,328,4424578,1777049489702422,1777049494877890,1777049498089470,101,ok,,length
221,phase1-prefix-A,,,,0,system-prompt-A,512,true,549,101,0,0,0,0,0,,0,1060,4654570,1777049489932632,1777049495282085,1777049498196222,102,ok,,length
472,phase1-prefix-A,,,,0,system-prompt-A,512,true,757,79,0,0,0,0,0,,0,1267,11012807,1777049496290759,1777049496574940,1777049498302216,80,ok,,length
444,phase1-cold,,,,0,,0,true,294,143,0,0,0,0,0,,0,302,10330384,1777049495608548,1777049495725510,1777049498333597,144,ok,,length
259,phase1-cold,,,,0,,0,true,217,107,0,0,0,0,0,,0,216,5514210,1777049490792165,1777049496219693,1777049498504951,108,ok,,length
240,phase1-prefix-A,,,,0,system-prompt-A,512,true,607,111,0,0,0,0,0,,0,1123,5113469,1777049490392176,1777049495890098,1777049498523827,112,ok,,length
478,phase1-cold,,,,0,,0,true,413,97,0,0,0,0,0,,0,399,11156025,1777049496433895,1777049496698819,1777049498652678,98,ok,,length
520,phase1-prefix-A,,,,0,system-prompt-A,512,true,335,57,0,0,0,0,0,,0,861,12015488,1777049497293876,1777049497402729,1777049498669171,58,ok,,length
539,phase1-cold,,,,0,,0,true,278,32,0,0,0,0,0,,0,286,12534502,1777049497812619,1777049497941072,1777049498694058,33,ok,,length
486,phase1-cold,,,,0,,0,true,229,83,0,0,0,0,0,,0,234,11330048,1777049496608122,1777049496670503,1777049498707886,84,ok,,length
201,phase1-cold,,,,0,,0,true,251,133,0,0,0,0,0,,0,247,4319537,1777049489598097,1777049494668919,1777049498726649,134,ok,,length
243,phase1-cold,,,,0,,0,true,263,121,0,0,0,0,0,,0,248,5176186,1777049490454212,1777049495890443,1777049498727161,122,ok,,length
203,phase1-prefix-A,,,,0,system-prompt-A,512,true,505,140,0,0,0,0,0,,0,995,4381549,1777049489659409,1777049494771932,1777049498887822,141,ok,,length
211,phase1-prefix-A,,,,0,system-prompt-A,512,true,455,144,0,0,0,0,0,,0,983,4475677,1777049489754527,1777049494979042,1777049499007389,145,ok,,length
536,phase1-cold,,,,0,,0,true,249,60,0,0,0,0,0,,0,260,12440403,1777049497718642,1777049497837231,1777049499113400,61,ok,,length
263,phase1-cold,,,,0,,0,true,294,137,0,0,0,0,0,,0,284,5658058,1777049490936390,1777049490986126,1777049499172228,138,ok,,length
222,phase1-cold,,,,0,,0,true,225,150,0,0,0,0,0,,0,240,4659490,1777049489937352,1777049495381566,1777049499204864,151,ok,,length
261,phase1-cold,,,,0,,0,true,293,146,0,0,0,0,0,,0,283,5576343,1777049490854344,1777049496220147,1777049499283477,147,ok,,length
523,phase1-cold,,,,0,,0,true,250,76,0,0,0,0,0,,0,235,12196365,1777049497474519,1777049497568893,1777049499344625,77,ok,,length
441,phase1-prefix-A,,,,0,system-prompt-A,512,true,617,183,0,0,0,0,0,,0,1116,10289772,1777049495567727,1777049495697853,1777049499350653,184,ok,,length
228,phase1-prefix-A,,,,0,system-prompt-A,512,true,458,160,0,0,0,0,0,,0,948,4784023,1777049490062388,1777049495582035,1777049499434432,161,ok,,length
239,phase1-cold,,,,0,,0,true,250,158,0,0,0,0,0,,0,254,5088838,1777049490366974,1777049495788017,1777049499434578,159,ok,,length
482,phase1-cold,,,,0,,0,true,254,125,0,0,0,0,0,,0,259,11284588,1777049496562605,1777049496766346,1777049499462691,126,ok,,length
571,phase1-prefix-A,,,,0,system-prompt-A,512,true,507,32,0,0,0,0,0,,0,1011,13318300,1777049498596136,1777049498694263,1777049499470197,33,ok,,length
277,phase1-prefix-A,,,,0,system-prompt-A,512,true,592,32,0,0,0,0,0,,0,1122,6120437,1777049491398814,1777049496479516,1777049499478274,33,ok,,length
475,phase1-cold,,,,0,,0,true,164,130,0,0,0,0,0,,0,168,11093320,1777049496371434,1777049496681008,1777049499575943,131,ok,,length
