request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
242,phase1-prefix-A,,,,0,system-prompt-A,512,true,712,32,0,0,0,0,0,,0,1235,6434693,1777052670078156,1777052670581141,1777052671118480,33,ok,,length
246,phase1-cold,,,,0,,0,true,255,32,0,0,0,0,0,,0,254,6528195,1777052670171990,1777052670671823,1777052671130936,33,ok,,length
232,phase1-cold,,,,0,,0,true,235,38,0,0,0,0,0,,0,242,6251009,1777052669894985,1777052670386167,1777052671156460,39,ok,,length
245,phase1-cold,,,,0,,0,true,260,46,0,0,0,0,0,,0,246,6525090,1777052670168863,1777052670671767,1777052671310863,47,ok,,length
271,phase1-cold,,,,0,,0,true,369,32,0,0,0,0,0,,0,366,7076417,1777052670719621,1777052670877787,1777052671409254,33,ok,,length
260,phase1-prefix-A,,,,0,system-prompt-A,512,true,461,72,0,0,0,0,0,,0,964,6874325,1777052670517612,1777052670653430,1777052671901404,73,ok,,length
270,phase1-prefix-A,,,,0,system-prompt-A,512,true,736,64,0,0,0,0,0,,0,1265,7075918,1777052670719051,1777052670877676,1777052671991731,65,ok,,length
305,phase1-prefix-A,,,,0,system-prompt-A,512,true,487,32,0,0,0,0,0,,0,999,7952043,1777052671596019,1777052671683606,1777052672377967,33,ok,,length
251,phase1-prefix-A,,,,0,system-prompt-A,512,true,444,108,0,0,0,0,0,,0,966,6598184,1777052670242197,1777052670317347,1777052672523489,109,ok,,length
240,phase1-prefix-A,,,,0,system-prompt-A,512,true,692,121,0,0,0,0,0,,0,1215,6397993,1777052670041653,1777052670580797,1777052672542560,122,ok,,length
304,phase1-prefix-A,,,,0,system-prompt-A,512,true,534,44,0,0,0,0,0,,0,1048,7915652,1777052671558803,1777052671620342,1777052672567958,45,ok,,length
229,phase1-cold,,,,0,,0,true,284,148,0,0,0,0,0,,0,265,6190927,1777052669834635,1777052669935284,1777052672590015,149,ok,,length
268,phase1-cold,,,,0,,0,true,218,91,0,0,0,0,0,,0,225,7026726,1777052670670621,1777052670788321,1777052672619455,92,ok,,length
264,phase1-cold,,,,0,,0,true,189,104,0,0,0,0,0,,0,200,6911771,1777052670556488,1777052670618548,1777052672702136,105,ok,,length
256,phase1-cold,,,,0,,0,true,263,118,0,0,0,0,0,,0,276,6727918,1777052670371908,1777052670421553,1777052672729774,119,ok,,length
250,phase1-prefix-A,,,,0,system-prompt-A,512,true,407,129,0,0,0,0,0,,0,935,6595673,1777052670239252,1777052670743002,1777052672762185,130,ok,,length
313,phase1-cold,,,,0,,0,true,213,50,0,0,0,0,0,,0,214,8236927,1777052671880195,1777052672029275,1777052672802762,51,ok,,length
300,phase1-cold,,,,0,,0,true,202,62,0,0,0,0,0,,0,208,7859676,1777052671503370,1777052671576469,1777052672823102,63,ok,,length
315,phase1-prefix-A,,,,0,system-prompt-A,512,true,504,58,0,0,0,0,0,,0,1014,8265765,1777052671909094,1777052672029016,1777052672977966,59,ok,,length
