request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
5,phase1-cold,,,,0,,0,true,228,57,0,0,0,0,0,,0,230,496891,1776962599383654,1776962599538407,1776962600203435,58,ok,,length
12,phase1-cold,,,,0,,0,true,274,32,0,0,0,0,0,,0,285,908967,1776962599795973,1776962599854370,1776962600268444,33,ok,,length
1,phase1-cold,,,,0,,0,true,243,102,0,0,0,0,0,,0,247,218396,1776962599105800,1776962599142940,1776962600361180,103,ok,,length
2,phase1-cold,,,,0,,0,true,175,105,0,0,0,0,0,,0,185,218816,1776962599105739,1776962599210293,1776962600457925,106,ok,,length
3,phase1-cold,,,,0,,0,true,254,93,0,0,0,0,0,,0,248,400875,1776962599287837,1776962599392376,1776962600555992,94,ok,,length
11,phase1-cold,,,,0,,0,true,360,62,0,0,0,0,0,,0,355,864150,1776962599751278,1776962599794873,1776962600626639,63,ok,,length
6,phase1-cold,,,,0,,0,true,297,148,0,0,0,0,0,,0,312,511070,1776962599397591,1776962599538349,1776962601307343,149,ok,,length
15,phase1-cold,,,,0,,0,true,336,158,0,0,0,0,0,,0,318,946562,1776962599832892,1776962599929448,1776962601829315,159,ok,,length
13,phase1-cold,,,,0,,0,true,170,198,0,0,0,0,0,,0,184,916833,1776962599803552,1776962599854457,1776962602273375,199,ok,,length
26,phase1-prefix-A,,,,0,system-prompt-A,512,true,720,192,0,0,0,0,0,,0,1211,1496490,1776962600383196,1776962600478470,1776962602729771,193,ok,,length
4,phase1-prefix-A,,,,0,system-prompt-A,512,true,504,298,0,0,0,0,0,,0,1016,456152,1776962599343408,1776962599520978,1776962603051459,299,ok,,length
28,phase1-cold,,,,0,,0,true,319,220,0,0,0,0,0,,0,321,1539727,1776962600426652,1776962600507882,1776962603094095,221,ok,,length
27,phase1-prefix-A,,,,0,system-prompt-A,512,true,585,274,0,0,0,0,0,,0,1104,1496764,1776962600383184,1776962600478271,1776962603775011,275,ok,,length
14,phase1-prefix-A,,,,0,system-prompt-A,512,true,617,322,0,0,0,0,0,,0,1131,932405,1776962599818967,1776962599929624,1776962603833728,323,ok,,length
24,phase1-prefix-A,,,,0,system-prompt-A,512,true,509,301,0,0,0,0,0,,0,1031,1352697,1776962600239048,1776962600310053,1776962603840833,302,ok,,length
7,phase1-prefix-A,,,,0,system-prompt-A,512,true,399,375,0,0,0,0,0,,0,901,520586,1776962599407684,1776962599538095,1776962603981027,376,ok,,length
8,phase1-prefix-A,,,,0,system-prompt-A,512,true,629,412,0,0,0,0,0,,0,1146,584183,1776962599471117,1776962599562322,1776962604465159,413,ok,,length
25,phase1-prefix-A,,,,0,system-prompt-A,512,true,415,359,0,0,0,0,0,,0,917,1384717,1776962600271520,1776962600333760,1776962604596642,360,ok,,length
101,phase1-prefix-A,,,,0,system-prompt-A,512,true,615,208,0,0,0,0,0,,0,1138,4228531,1776962603115361,1776962603175372,1776962605648214,209,ok,,length
121,phase1-prefix-A,,,,0,system-prompt-A,512,true,509,128,0,0,0,0,0,,0,1010,5199714,1776962604086179,1776962604151867,1776962605745277,129,ok,,length
157,phase1-cold,,,,0,,0,true,258,32,0,0,0,0,0,,0,263,7129756,1776962606016731,1776962606078938,1776962606446669,33,ok,,length
0,phase1-prefix-A,,,,0,system-prompt-A,512,true,499,199,0,0,0,0,0,,0,1023,179206,1776962599065555,1776962599194913,1776962606653843,200,ok,,length
89,phase1-prefix-A,,,,0,system-prompt-A,512,true,466,345,0,0,0,0,0,,0,969,3875723,1776962602762268,1776962602812919,1776962606993250,346,ok,,length
30,phase1-cold,,,,0,,0,true,177,109,0,0,0,0,0,,0,188,1706362,1776962600592722,1776962600659105,1776962606999411,110,ok,,length
18,phase1-cold,,,,0,,0,true,273,180,0,0,0,0,0,,0,268,1077833,1776962599964428,1776962600028346,1776962607235185,181,ok,,length
17,phase1-cold,,,,0,,0,true,289,200,0,0,0,0,0,,0,266,1053628,1776962599940024,1776962600015284,1776962607466141,201,ok,,length
23,phase1-prefix-A,,,,0,system-prompt-A,512,true,329,209,0,0,0,0,0,,0,834,1327143,1776962600213604,1776962600258519,1776962607801673,210,ok,,length
194,phase1-cold,,,,0,,0,true,158,45,0,0,0,0,0,,0,156,8478690,1776962607365773,1776962607412482,1776962607967176,46,ok,,length
31,phase1-cold,,,,0,,0,true,165,201,0,0,0,0,0,,0,170,1764961,1776962600652101,1776962605766584,1776962608158114,202,ok,,length
29,phase1-prefix-A,,,,0,system-prompt-A,512,true,528,220,0,0,0,0,0,,0,1042,1695264,1776962600582185,1776962600645625,1776962608334768,221,ok,,length
37,phase1-prefix-A,,,,0,system-prompt-A,512,true,555,32,0,0,0,0,0,,0,1079,2058043,1776962600944977,1776962605917813,1776962608348559,33,ok,,length
36,phase1-cold,,,,0,,0,true,330,32,0,0,0,0,0,,0,315,2025539,1776962600912234,1776962605918130,1776962608349566,33,ok,,length
42,phase1-prefix-A,,,,0,system-prompt-A,512,true,581,32,0,0,0,0,0,,0,1079,2244366,1776962601130951,1776962606183624,1776962608383134,33,ok,,length
50,phase1-cold,,,,0,,0,true,238,32,0,0,0,0,0,,0,239,2387274,1776962601274535,1776962606196417,1776962608398213,33,ok,,length
69,phase1-prefix-A,,,,0,system-prompt-A,512,true,561,32,0,0,0,0,0,,0,1083,3032595,1776962601919856,1776962606769965,1776962608481674,33,ok,,length
77,phase1-cold,,,,0,,0,true,185,32,0,0,0,0,0,,0,182,3301511,1776962602188704,1776962606784196,1776962608497471,33,ok,,length
