request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
4,cold-queries,,,,0,,0,true,228,57,0,0,0,0,0,,0,230,186333,1776963100584516,1776963100698807,1776963101382279,58,ok,,length
0,cold-queries,,,,0,,0,true,243,102,0,0,0,0,0,,0,247,81898,1776963100479557,1776963100582335,1776963101704735,103,ok,,length
1,cold-queries,,,,0,,0,true,175,105,0,0,0,0,0,,0,185,82055,1776963100479432,1776963100507013,1776963101734881,106,ok,,length
3,cold-queries,,,,0,,0,true,254,93,0,0,0,0,0,,0,248,150327,1776963100547848,1776963100685481,1776963101791229,94,ok,,length
5,cold-queries,,,,0,,0,true,297,148,0,0,0,0,0,,0,312,191650,1776963100589008,1776963100698908,1776963102445499,149,ok,,length
2,prefix-A,,,,0,system-prompt-A,512,true,499,199,0,0,0,0,0,,0,1023,104537,1776963100502599,1776963100574374,1776963102818506,200,ok,,length
6,prefix-A,,,,0,system-prompt-A,512,true,504,298,0,0,0,0,0,,0,1016,266089,1776963100664130,1776963100730836,1776963104188681,299,ok,,length
113,cold-queries,,,,0,,0,true,252,107,0,0,0,0,0,,0,259,2453964,1776963102852010,1776963103009422,1776963104252394,108,ok,,length
8,prefix-A,,,,0,system-prompt-A,512,true,399,375,0,0,0,0,0,,0,901,303675,1776963100701095,1776963100765733,1776963105069540,376,ok,,length
114,prefix-A,,,,0,system-prompt-A,512,true,615,208,0,0,0,0,0,,0,1138,2466631,1776963102865672,1776963102955547,1776963105419824,209,ok,,length
205,cold-queries,,,,0,,0,true,234,113,0,0,0,0,0,,0,235,4682727,1776963105079925,1776963105107849,1776963106489743,114,ok,,length
115,prefix-A,,,,0,system-prompt-A,512,true,628,328,0,0,0,0,0,,0,1134,2474699,1776963102873137,1776963103009518,1776963106814632,329,ok,,length
303,cold-queries,,,,0,,0,true,113,32,0,0,0,0,0,,0,118,6852238,1776963107249459,1776963107325947,1776963107693518,33,ok,,length
206,prefix-A,,,,0,system-prompt-A,512,true,479,218,0,0,0,0,0,,0,966,4700658,1776963105098520,1776963105175709,1776963107798813,219,ok,,length
260,cold-queries,,,,0,,0,true,169,32,0,0,0,0,0,,0,165,5815709,1776963106213175,1776963107551642,1776963108570705,33,ok,,length
279,cold-queries,,,,0,,0,true,321,32,0,0,0,0,0,,0,316,6251440,1776963106649273,1776963107996407,1776963108627076,33,ok,,length
277,cold-queries,,,,0,,0,true,299,32,0,0,0,0,0,,0,294,6204918,1776963106602854,1776963107996456,1776963108627624,33,ok,,length
284,prefix-A,,,,0,system-prompt-A,512,true,392,32,0,0,0,0,0,,0,903,6298854,1776963106696911,1776963108010839,1776963108640552,33,ok,,length
