request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
2,phase1-prefix-A,,,,0,system-prompt-A,512,true,516,32,0,0,0,0,0,,0,1009,159844,1776963594093538,1776963594264653,1776963594648544,33,ok,,length
6,phase1-prefix-A,,,,0,system-prompt-A,512,true,345,32,0,0,0,0,0,,0,862,337122,1776963594270492,1776963594323141,1776963594707496,33,ok,,length
0,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,71,0,0,0,0,0,,0,1049,20968,1776963593953638,1776963594083272,1776963594916517,72,ok,,length
1,phase1-cold,,,,0,,0,true,297,91,0,0,0,0,0,,0,279,136391,1776963594069697,1776963594123770,1776963595228718,92,ok,,length
3,phase1-cold,,,,0,,0,true,210,92,0,0,0,0,0,,0,227,180257,1776963594113238,1776963594266252,1776963595398347,93,ok,,length
9,phase1-prefix-A,,,,0,system-prompt-A,512,true,419,108,0,0,0,0,0,,0,935,490209,1776963594423503,1776963594553930,1776963595874355,109,ok,,length
25,phase1-prefix-A,,,,0,system-prompt-A,512,true,433,39,0,0,0,0,0,,0,940,1432870,1776963595366121,1776963595416464,1776963595879808,40,ok,,length
15,phase1-cold,,,,0,,0,true,204,70,0,0,0,0,0,,0,192,1020130,1776963594953289,1776963595001346,1776963595879873,71,ok,,length
33,phase1-cold,,,,0,,0,true,378,146,0,0,0,0,0,,0,394,1957334,1776963595890312,1776963595937717,1776963597640197,147,ok,,length
5,phase1-prefix-A,,,,0,system-prompt-A,512,true,310,296,0,0,0,0,0,,0,823,246195,1776963594179182,1776963594241348,1776963597745481,297,ok,,length
10,phase1-prefix-A,,,,0,system-prompt-A,512,true,557,334,0,0,0,0,0,,0,1063,638650,1776963594571900,1776963594642652,1776963598575051,335,ok,,length
20,phase1-cold,,,,0,,0,true,344,94,0,0,0,0,0,,0,350,1248896,1776963595181433,1776963595242880,1776963601336507,95,ok,,length
32,phase1-cold,,,,0,,0,true,245,63,0,0,0,0,0,,0,268,1828034,1776963595760692,1776963595808239,1776963601567558,64,ok,,length
4,phase1-prefix-A,,,,0,system-prompt-A,512,true,603,201,0,0,0,0,0,,0,1104,244475,1776963594177140,1776963594266313,1776963601684041,202,ok,,length
128,phase1-cold,,,,0,,0,true,209,32,0,0,0,0,0,,0,212,7377797,1776963601311194,1776963601372605,1776963601755256,33,ok,,length
127,phase1-prefix-A,,,,0,system-prompt-A,512,true,551,73,0,0,0,0,0,,0,1061,7293488,1776963601226633,1776963601288365,1776963602232765,74,ok,,length
19,phase1-prefix-A,,,,0,system-prompt-A,512,true,389,168,0,0,0,0,0,,0,917,1217779,1776963595151022,1776963595223544,1776963602292417,169,ok,,length
11,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,217,0,0,0,0,0,,0,1020,798836,1776963594731537,1776963594786201,1776963602417182,218,ok,,length
31,phase1-prefix-A,,,,0,system-prompt-A,512,true,206,161,0,0,0,0,0,,0,718,1814613,1776963595747752,1776963600753327,1776963602758166,162,ok,,length
16,phase1-prefix-A,,,,0,system-prompt-A,512,true,633,227,0,0,0,0,0,,0,1154,1088917,1776963595021608,1776963595093880,1776963602808808,228,ok,,length
7,phase1-prefix-A,,,,0,system-prompt-A,512,true,505,295,0,0,0,0,0,,0,1013,359423,1776963594292277,1776963594364075,1776963602962987,296,ok,,length
17,phase1-prefix-A,,,,0,system-prompt-A,512,true,471,241,0,0,0,0,0,,0,964,1103016,1776963595035758,1776963595111074,1776963603010862,242,ok,,length
36,phase1-prefix-A,,,,0,system-prompt-A,512,true,628,175,0,0,0,0,0,,0,1157,2032397,1776963595965205,1776963600994552,1776963603103347,176,ok,,length
66,phase1-cold,,,,0,,0,true,237,32,0,0,0,0,0,,0,235,3710412,1776963597643425,1776963601686885,1776963603326015,33,ok,,length
73,phase1-cold,,,,0,,0,true,186,32,0,0,0,0,0,,0,190,4074526,1776963598007847,1776963601955912,1776963603357711,33,ok,,length
34,phase1-prefix-A,,,,0,system-prompt-A,512,true,456,203,0,0,0,0,0,,0,987,1983903,1776963595916496,1776963595975606,1776963603489195,204,ok,,length
85,phase1-cold,,,,0,,0,true,189,53,0,0,0,0,0,,0,192,4806219,1776963598739559,1776963602063539,1776963603722845,54,ok,,length
18,phase1-prefix-A,,,,0,system-prompt-A,512,true,406,288,0,0,0,0,0,,0,917,1211009,1776963595143967,1776963595199068,1776963603742292,289,ok,,length
8,phase1-prefix-A,,,,0,system-prompt-A,512,true,499,192,0,0,0,0,0,,0,1006,468945,1776963594402355,1776963594528540,1776963603754492,193,ok,,length
62,phase1-cold,,,,0,,0,true,284,66,0,0,0,0,0,,0,286,3494087,1776963597426595,1776963601686480,1776963603864439,67,ok,,length
29,phase1-prefix-A,,,,0,system-prompt-A,512,true,682,259,0,0,0,0,0,,0,1198,1780379,1776963595713216,1776963595790083,1776963603938588,260,ok,,length
79,phase1-prefix-A,,,,0,system-prompt-A,512,true,446,70,0,0,0,0,0,,0,959,4483009,1776963598415863,1776963602062947,1776963603989600,71,ok,,length
135,phase1-prefix-A,,,,0,system-prompt-A,512,true,515,178,0,0,0,0,0,,0,1029,7676799,1776963601609603,1776963601833676,1776963603989944,179,ok,,length
28,phase1-prefix-A,,,,0,system-prompt-A,512,true,448,272,0,0,0,0,0,,0,953,1691366,1776963595624144,1776963595673090,1776963604030445,273,ok,,length
35,phase1-prefix-A,,,,0,system-prompt-A,512,true,556,251,0,0,0,0,0,,0,1073,2008538,1776963595941373,1776963600993869,1776963604089558,252,ok,,length
130,phase1-prefix-A,,,,0,system-prompt-A,512,true,651,224,0,0,0,0,0,,0,1165,7402995,1776963601335515,1776963601393683,1776963604174491,225,ok,,length
118,phase1-prefix-A,,,,0,system-prompt-A,512,true,453,76,0,0,0,0,0,,0,943,6669357,1776963600601961,1776963603035259,1776963604223788,77,ok,,length
87,phase1-cold,,,,0,,0,true,142,99,0,0,0,0,0,,0,137,4876104,1776963598808842,1776963602062991,1776963604443423,100,ok,,length
44,phase1-cold,,,,0,,0,true,243,109,0,0,0,0,0,,0,239,2618087,1776963596551128,1776963601319306,1776963604475701,110,ok,,length
106,phase1-prefix-A,,,,0,system-prompt-A,512,true,657,98,0,0,0,0,0,,0,1156,6055140,1776963599988648,1776963602629552,1776963604505568,99,ok,,length
72,phase1-prefix-A,,,,0,system-prompt-A,512,true,442,106,0,0,0,0,0,,0,955,3997284,1776963597930468,1776963601955910,1776963604521404,107,ok,,length
74,phase1-prefix-A,,,,0,system-prompt-A,512,true,621,106,0,0,0,0,0,,0,1129,4077315,1776963598010748,1776963601972413,1776963604536849,107,ok,,length
103,phase1-prefix-A,,,,0,system-prompt-A,512,true,478,103,0,0,0,0,0,,0,981,5994944,1776963599928195,1776963602440428,1776963604568319,104,ok,,length
116,phase1-prefix-A,,,,0,system-prompt-A,512,true,520,99,0,0,0,0,0,,0,1037,6639022,1776963600571791,1776963602829438,1776963604568439,100,ok,,length
78,phase1-cold,,,,0,,0,true,168,109,0,0,0,0,0,,0,166,4476399,1776963598409522,1776963601967724,1776963604586628,110,ok,,length
56,phase1-cold,,,,0,,0,true,198,123,0,0,0,0,0,,0,210,3403468,1776963597336760,1776963601502490,1776963604722300,124,ok,,length
37,phase1-cold,,,,0,,0,true,310,130,0,0,0,0,0,,0,319,2102829,1776963596035467,1776963601043572,1776963604737655,131,ok,,length
57,phase1-prefix-A,,,,0,system-prompt-A,512,true,617,123,0,0,0,0,0,,0,1134,3416392,1776963597349881,1776963601673877,1776963604737758,124,ok,,length
13,phase1-prefix-A,,,,0,system-prompt-A,512,true,448,347,0,0,0,0,0,,0,952,941675,1776963594874665,1776963594949567,1776963604801398,348,ok,,length
108,phase1-cold,,,,0,,0,true,320,123,0,0,0,0,0,,0,323,6074993,1776963600008462,1776963602638959,1776963604908493,124,ok,,length
141,phase1-cold,,,,0,,0,true,201,32,0,0,0,0,0,,0,207,8035133,1776963601967602,1776963604009532,1776963604921028,33,ok,,length
136,phase1-cold,,,,0,,0,true,192,243,0,0,0,0,0,,0,206,7693250,1776963601626050,1776963601833724,1776963605005065,244,ok,,length
