request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
5,phase1-cold,,,,0,,0,true,228,57,0,0,0,0,0,,0,230,496891,1776964601484790,1776964601649467,1776964602335219,58,ok,,length
3,phase1-cold,,,,0,,0,true,254,93,0,0,0,0,0,,0,248,400875,1776964601388540,1776964601418552,1776964602577348,94,ok,,length
6,phase1-cold,,,,0,,0,true,297,148,0,0,0,0,0,,0,312,511070,1776964601498899,1776964601649869,1776964603395723,149,ok,,length
0,phase1-prefix-A,,,,0,system-prompt-A,512,true,499,199,0,0,0,0,0,,0,1023,179206,1776964601166827,1776964601302961,1776964603668289,200,ok,,length
19,phase1-prefix-A,,,,0,system-prompt-A,512,true,459,129,0,0,0,0,0,,0,963,1129277,1776964602117269,1776964602181099,1776964603691216,130,ok,,length
10,phase1-cold,,,,0,,0,true,249,162,0,0,0,0,0,,0,256,721889,1776964601709695,1776964601758838,1776964603742131,163,ok,,length
15,phase1-cold,,,,0,,0,true,336,158,0,0,0,0,0,,0,318,946562,1776964601935004,1776964602026760,1776964603919310,159,ok,,length
18,phase1-cold,,,,0,,0,true,273,180,0,0,0,0,0,,0,268,1077833,1776964602066128,1776964602128343,1776964604317651,181,ok,,length
17,phase1-cold,,,,0,,0,true,289,200,0,0,0,0,0,,0,266,1053628,1776964602041235,1776964602128309,1776964604554555,201,ok,,length
61,phase1-cold,,,,0,,0,true,287,74,0,0,0,0,0,,0,302,2759098,1776964603747421,1776964603793985,1776964604708171,75,ok,,length
23,phase1-prefix-A,,,,0,system-prompt-A,512,true,329,209,0,0,0,0,0,,0,834,1327143,1776964602314674,1776964602362902,1776964604842370,210,ok,,length
62,phase1-cold,,,,0,,0,true,330,103,0,0,0,0,0,,0,324,2783506,1776964603771963,1776964603836087,1776964605070917,104,ok,,length
4,phase1-prefix-A,,,,0,system-prompt-A,512,true,504,298,0,0,0,0,0,,0,1016,456152,1776964601444535,1776964601634827,1776964605138620,299,ok,,length
14,phase1-prefix-A,,,,0,system-prompt-A,512,true,617,322,0,0,0,0,0,,0,1131,932405,1776964601921201,1776964602010445,1776964605849126,323,ok,,length
24,phase1-prefix-A,,,,0,system-prompt-A,512,true,509,301,0,0,0,0,0,,0,1031,1352697,1776964602340387,1776964602411132,1776964605968742,302,ok,,length
7,phase1-prefix-A,,,,0,system-prompt-A,512,true,399,375,0,0,0,0,0,,0,901,520586,1776964601508399,1776964601649636,1776964606091103,376,ok,,length
9,phase1-prefix-A,,,,0,system-prompt-A,512,true,382,372,0,0,0,0,0,,0,889,663492,1776964601651949,1776964601715223,1776964606091154,373,ok,,length
90,phase1-cold,,,,0,,0,true,285,96,0,0,0,0,0,,0,292,3933458,1776964604921673,1776964604963700,1776964606104651,97,ok,,length
8,phase1-prefix-A,,,,0,system-prompt-A,512,true,629,412,0,0,0,0,0,,0,1146,584183,1776964601572665,1776964601672022,1776964606534517,413,ok,,length
16,phase1-prefix-A,,,,0,system-prompt-A,512,true,606,373,0,0,0,0,0,,0,1117,1039936,1776964602027904,1776964602113077,1776964606628108,374,ok,,length
25,phase1-prefix-A,,,,0,system-prompt-A,512,true,415,359,0,0,0,0,0,,0,917,1384717,1776964602372705,1776964602435754,1776964606707138,360,ok,,length
92,phase1-cold,,,,0,,0,true,160,167,0,0,0,0,0,,0,171,3970213,1776964604958730,1776964605008089,1776964607010197,168,ok,,length
64,phase1-prefix-A,,,,0,system-prompt-A,512,true,498,275,0,0,0,0,0,,0,1028,2841582,1776964603829448,1776964603901595,1776964607178284,276,ok,,length
12,phase1-cold,,,,0,,0,true,274,32,0,0,0,0,0,,0,285,908967,1776964601896813,1776964601935600,1776964607672068,33,ok,,length
121,phase1-prefix-A,,,,0,system-prompt-A,512,true,509,128,0,0,0,0,0,,0,1010,5199714,1776964606187396,1776964606253838,1776964607776639,129,ok,,length
129,phase1-cold,,,,0,,0,true,263,87,0,0,0,0,0,,0,275,5665574,1776964606653938,1776964606695139,1776964607779781,88,ok,,length
138,phase1-cold,,,,0,,0,true,199,78,0,0,0,0,0,,0,205,6073147,1776964607060692,1776964607106897,1776964608035506,79,ok,,length
63,phase1-prefix-A,,,,0,system-prompt-A,512,true,512,351,0,0,0,0,0,,0,1018,2796051,1776964603783850,1776964603852059,1776964608084405,352,ok,,length
132,phase1-cold,,,,0,,0,true,259,126,0,0,0,0,0,,0,257,5820449,1776964606808596,1776964606891683,1776964608378186,127,ok,,length
1,phase1-cold,,,,0,,0,true,243,102,0,0,0,0,0,,0,247,218396,1776964601206261,1776964601317122,1776964609156769,103,ok,,length
128,phase1-prefix-A,,,,0,system-prompt-A,512,true,496,208,0,0,0,0,0,,0,1017,5610973,1776964606599481,1776964606655666,1776964609163980,209,ok,,length
102,phase1-prefix-A,,,,0,system-prompt-A,512,true,628,328,0,0,0,0,0,,0,1134,4242361,1776964605229944,1776964605287605,1776964609233763,329,ok,,length
2,phase1-cold,,,,0,,0,true,175,105,0,0,0,0,0,,0,185,218816,1776964601206328,1776964601317282,1776964609360315,106,ok,,length
11,phase1-cold,,,,0,,0,true,360,62,0,0,0,0,0,,0,355,864150,1776964601852706,1776964601897334,1776964609918795,63,ok,,length
36,phase1-cold,,,,0,,0,true,330,32,0,0,0,0,0,,0,315,2025539,1776964603014079,1776964607864511,1776964610030299,33,ok,,length
37,phase1-prefix-A,,,,0,system-prompt-A,512,true,555,32,0,0,0,0,0,,0,1079,2058043,1776964603045629,1776964608031177,1776964610045613,33,ok,,length
42,phase1-prefix-A,,,,0,system-prompt-A,512,true,581,32,0,0,0,0,0,,0,1079,2244366,1776964603232185,1776964608031062,1776964610045823,33,ok,,length
50,phase1-cold,,,,0,,0,true,238,32,0,0,0,0,0,,0,239,2387274,1776964603374908,1776964608229444,1776964610092416,33,ok,,length
69,phase1-prefix-A,,,,0,system-prompt-A,512,true,561,32,0,0,0,0,0,,0,1083,3032595,1776964604020475,1776964608514441,1776964610139389,33,ok,,length
81,phase1-cold,,,,0,,0,true,218,32,0,0,0,0,0,,0,211,3480254,1776964604467908,1776964608698190,1776964610170674,33,ok,,length
77,phase1-cold,,,,0,,0,true,185,32,0,0,0,0,0,,0,182,3301511,1776964604289197,1776964608698030,1776964610171392,33,ok,,length
85,phase1-prefix-A,,,,0,system-prompt-A,512,true,568,32,0,0,0,0,0,,0,1082,3695375,1776964604683257,1776964608878981,1776964610187046,33,ok,,length
59,phase1-cold,,,,0,,0,true,366,73,0,0,0,0,0,,0,359,2651003,1776964603639260,1776964608500178,1776964610769206,74,ok,,length
146,phase1-prefix-A,,,,0,system-prompt-A,512,true,638,60,0,0,0,0,0,,0,1153,6600170,1776964607587708,1776964609859724,1776964610801257,61,ok,,length
45,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,80,0,0,0,0,0,,0,1038,2287759,1776964603275783,1776964608046072,1776964610817134,81,ok,,length
46,phase1-cold,,,,0,,0,true,387,81,0,0,0,0,0,,0,386,2343416,1776964603331494,1776964608214499,1776964610852194,82,ok,,length
