request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
4,cold-queries,,,,0,,0,true,228,57,0,0,0,0,0,,0,230,186333,1776965125086172,1776965125141403,1776965125820649,58,ok,,length
3,cold-queries,,,,0,,0,true,254,93,0,0,0,0,0,,0,248,150327,1776965125050594,1776965125143759,1776965126315118,94,ok,,length
22,cold-queries,,,,0,,0,true,177,109,0,0,0,0,0,,0,188,639880,1776965125540061,1776965125635915,1776965126898757,110,ok,,length
23,prefix-A,,,,0,system-prompt-A,512,true,459,129,0,0,0,0,0,,0,963,658744,1776965125558756,1776965125635953,1776965127131874,130,ok,,length
24,cold-queries,,,,0,,0,true,165,201,0,0,0,0,0,,0,170,661854,1776965125562328,1776965125635888,1776965127972437,202,ok,,length
11,cold-queries,,,,0,,0,true,274,32,0,0,0,0,0,,0,285,340860,1776965125240513,1776965130238266,1776965130599588,33,ok,,length
9,cold-queries,,,,0,,0,true,360,62,0,0,0,0,0,,0,355,324054,1776965125223843,1776965130238639,1776965130948735,63,ok,,length
35,cold-queries,,,,0,,0,true,238,32,0,0,0,0,0,,0,239,895219,1776965125795221,1776965130870664,1776965131230997,33,ok,,length
0,cold-queries,,,,0,,0,true,243,102,0,0,0,0,0,,0,247,81898,1776965124981943,1776965125081013,1776965131348878,103,ok,,length
33,cold-queries,,,,0,,0,true,387,81,0,0,0,0,0,,0,386,878773,1776965125779044,1776965130868204,1776965131800053,82,ok,,length
5,cold-queries,,,,0,,0,true,297,148,0,0,0,0,0,,0,312,191650,1776965125091333,1776965125256244,1776965131917110,149,ok,,length
13,cold-queries,,,,0,,0,true,336,158,0,0,0,0,0,,0,318,354957,1776965125254633,1776965130246042,1776965132069505,159,ok,,length
