request_id,client_id,tenant_id,slo_class,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
2,phase1-prefix-A,,,,0,system-prompt-A,512,true,516,32,0,0,0,0,0,,0,1009,159844,1776965586241582,1776965586374218,1776965586732494,33,ok,,length
6,phase1-prefix-A,,,,0,system-prompt-A,512,true,345,32,0,0,0,0,0,,0,862,337122,1776965586419020,1776965586494867,1776965586862652,33,ok,,length
0,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,71,0,0,0,0,0,,0,1049,20968,1776965586102505,1776965586231055,1776965587057121,72,ok,,length
3,phase1-cold,,,,0,,0,true,210,92,0,0,0,0,0,,0,227,180257,1776965586262156,1776965586301577,1776965587409226,93,ok,,length
1,phase1-cold,,,,0,,0,true,297,91,0,0,0,0,0,,0,279,136391,1776965586218359,1776965586325895,1776965587465226,92,ok,,length
9,phase1-prefix-A,,,,0,system-prompt-A,512,true,419,108,0,0,0,0,0,,0,935,490209,1776965586572253,1776965586628300,1776965587914034,109,ok,,length
4,phase1-prefix-A,,,,0,system-prompt-A,512,true,603,201,0,0,0,0,0,,0,1104,244475,1776965586325950,1776965586480078,1776965588886079,202,ok,,length
16,phase1-prefix-A,,,,0,system-prompt-A,512,true,633,227,0,0,0,0,0,,0,1154,1088917,1776965587170091,1776965587245930,1776965589933886,228,ok,,length
7,phase1-prefix-A,,,,0,system-prompt-A,512,true,505,295,0,0,0,0,0,,0,1013,359423,1776965586441032,1776965586510897,1776965590027258,296,ok,,length
17,phase1-prefix-A,,,,0,system-prompt-A,512,true,471,241,0,0,0,0,0,,0,964,1103016,1776965587184543,1776965587262262,1776965590132970,242,ok,,length
73,phase1-cold,,,,0,,0,true,186,32,0,0,0,0,0,,0,190,4074526,1776965590156206,1776965590205042,1776965590580499,33,ok,,length
28,phase1-prefix-A,,,,0,system-prompt-A,512,true,448,272,0,0,0,0,0,,0,953,1691366,1776965587773216,1776965587827768,1776965591095349,273,ok,,length
72,phase1-prefix-A,,,,0,system-prompt-A,512,true,442,106,0,0,0,0,0,,0,955,3997284,1776965590078706,1776965590132584,1776965591412073,107,ok,,length
74,phase1-prefix-A,,,,0,system-prompt-A,512,true,621,106,0,0,0,0,0,,0,1129,4077315,1776965590158484,1776965590227657,1776965591502279,107,ok,,length
49,phase1-prefix-A,,,,0,system-prompt-A,512,true,492,210,0,0,0,0,0,,0,1009,2971629,1776965589053233,1776965589111982,1776965591662076,211,ok,,length
80,phase1-prefix-A,,,,0,system-prompt-A,512,true,263,141,0,0,0,0,0,,0,769,4703917,1776965590786022,1776965590834876,1776965592553058,142,ok,,length
32,phase1-cold,,,,0,,0,true,245,63,0,0,0,0,0,,0,268,1828034,1776965587909638,1776965592859922,1776965593595836,64,ok,,length
20,phase1-cold,,,,0,,0,true,344,94,0,0,0,0,0,,0,350,1248896,1776965587330073,1776965587398598,1776965593837559,95,ok,,length
8,phase1-prefix-A,,,,0,system-prompt-A,512,true,499,192,0,0,0,0,0,,0,1006,468945,1776965586550140,1776965586609589,1776965594263244,193,ok,,length
25,phase1-prefix-A,,,,0,system-prompt-A,512,true,433,39,0,0,0,0,0,,0,940,1432870,1776965587514503,1776965592592466,1776965594351909,40,ok,,length
66,phase1-cold,,,,0,,0,true,237,32,0,0,0,0,0,,0,235,3710412,1776965589792004,1776965593309930,1776965594367086,33,ok,,length
15,phase1-cold,,,,0,,0,true,204,70,0,0,0,0,0,,0,192,1020130,1776965587102022,1776965587160193,1776965594368201,71,ok,,length
118,phase1-prefix-A,,,,0,system-prompt-A,512,true,453,76,0,0,0,0,0,,0,943,6669357,1776965592751354,1776965593449469,1776965594413869,77,ok,,length
116,phase1-prefix-A,,,,0,system-prompt-A,512,true,520,99,0,0,0,0,0,,0,1037,6639022,1776965592720857,1776965593449700,1776965594703391,100,ok,,length
85,phase1-cold,,,,0,,0,true,189,53,0,0,0,0,0,,0,192,4806219,1776965590887697,1776965593519408,1776965594725366,54,ok,,length
31,phase1-prefix-A,,,,0,system-prompt-A,512,true,206,161,0,0,0,0,0,,0,718,1814613,1776965587896641,1776965592858002,1776965594734540,162,ok,,length
19,phase1-prefix-A,,,,0,system-prompt-A,512,true,389,168,0,0,0,0,0,,0,917,1217779,1776965587299565,1776965587369078,1776965594738290,169,ok,,length
62,phase1-cold,,,,0,,0,true,284,66,0,0,0,0,0,,0,286,3494087,1776965589575715,1776965593140432,1776965594859572,67,ok,,length
79,phase1-prefix-A,,,,0,system-prompt-A,512,true,446,70,0,0,0,0,0,,0,959,4483009,1776965590565078,1776965593422491,1776965594964464,71,ok,,length
33,phase1-cold,,,,0,,0,true,378,146,0,0,0,0,0,,0,394,1957334,1776965588039084,1776965588096015,1776965595219019,147,ok,,length
5,phase1-prefix-A,,,,0,system-prompt-A,512,true,310,296,0,0,0,0,0,,0,823,246195,1776965586327506,1776965586386336,1776965595332197,297,ok,,length
87,phase1-cold,,,,0,,0,true,142,99,0,0,0,0,0,,0,137,4876104,1776965590958060,1776965593519361,1776965595412809,100,ok,,length
44,phase1-cold,,,,0,,0,true,243,109,0,0,0,0,0,,0,239,2618087,1776965588700098,1776965592690116,1776965595428406,110,ok,,length
106,phase1-prefix-A,,,,0,system-prompt-A,512,true,657,98,0,0,0,0,0,,0,1156,6055140,1776965592136755,1776965593895121,1776965595457568,99,ok,,length
103,phase1-prefix-A,,,,0,system-prompt-A,512,true,478,103,0,0,0,0,0,,0,981,5994944,1776965592077148,1776965593895351,1776965595533798,104,ok,,length
78,phase1-cold,,,,0,,0,true,168,109,0,0,0,0,0,,0,166,4476399,1776965590558137,1776965593422831,1776965595549161,110,ok,,length
36,phase1-prefix-A,,,,0,system-prompt-A,512,true,628,175,0,0,0,0,0,,0,1157,2032397,1776965588114270,1776965593279618,1776965595622292,176,ok,,length
57,phase1-prefix-A,,,,0,system-prompt-A,512,true,617,123,0,0,0,0,0,,0,1134,3416392,1776965589498052,1776965593127600,1776965595697834,124,ok,,length
56,phase1-cold,,,,0,,0,true,198,123,0,0,0,0,0,,0,210,3403468,1776965589485262,1776965593127176,1776965595698632,124,ok,,length
10,phase1-prefix-A,,,,0,system-prompt-A,512,true,557,334,0,0,0,0,0,,0,1063,638650,1776965586720495,1776965586790937,1776965595716138,335,ok,,length
37,phase1-cold,,,,0,,0,true,310,130,0,0,0,0,0,,0,319,2102829,1776965588184044,1776965592678236,1776965595727409,131,ok,,length
108,phase1-cold,,,,0,,0,true,320,123,0,0,0,0,0,,0,323,6074993,1776965592156311,1776965594034691,1776965595848244,124,ok,,length
29,phase1-prefix-A,,,,0,system-prompt-A,512,true,682,259,0,0,0,0,0,,0,1198,1780379,1776965587861708,1776965592841215,1776965595904435,260,ok,,length
34,phase1-prefix-A,,,,0,system-prompt-A,512,true,456,203,0,0,0,0,0,,0,987,1983903,1776965588065151,1776965593178730,1776965595939457,204,ok,,length
104,phase1-prefix-A,,,,0,system-prompt-A,512,true,775,131,0,0,0,0,0,,0,1294,5996174,1776965592077377,1776965593895135,1776965595951842,132,ok,,length
64,phase1-cold,,,,0,,0,true,284,142,0,0,0,0,0,,0,280,3686269,1776965589768168,1776965593140518,1776965595996326,143,ok,,length
105,phase1-cold,,,,0,,0,true,234,139,0,0,0,0,0,,0,223,6028094,1776965592110010,1776965593895685,1776965596069516,140,ok,,length
13,phase1-prefix-A,,,,0,system-prompt-A,512,true,448,347,0,0,0,0,0,,0,952,941675,1776965587023672,1776965587102120,1776965596150497,348,ok,,length
119,phase1-prefix-A,,,,0,system-prompt-A,512,true,452,221,0,0,0,0,0,,0,947,6692349,1776965592773787,1776965593449512,1776965596195120,222,ok,,length
18,phase1-prefix-A,,,,0,system-prompt-A,512,true,406,288,0,0,0,0,0,,0,917,1211009,1776965587292617,1776965587368841,1776965596207165,289,ok,,length
11,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,217,0,0,0,0,0,,0,1020,798836,1776965586881059,1776965586940307,1776965596304224,218,ok,,length
61,phase1-prefix-A,,,,0,system-prompt-A,512,true,405,165,0,0,0,0,0,,0,927,3488460,1776965589569666,1776965593140321,1776965596332816,166,ok,,length
102,phase1-prefix-A,,,,0,system-prompt-A,512,true,488,164,0,0,0,0,0,,0,986,5990997,1776965592072193,1776965593882770,1776965596420241,165,ok,,length
67,phase1-cold,,,,0,,0,true,308,170,0,0,0,0,0,,0,323,3720583,1776965589801993,1776965593309565,1776965596425562,171,ok,,length
51,phase1-prefix-A,,,,0,system-prompt-A,512,true,506,177,0,0,0,0,0,,0,1025,3232701,1776965589314792,1776965592946848,1776965596463985,178,ok,,length
81,phase1-prefix-A,,,,0,system-prompt-A,512,true,762,171,0,0,0,0,0,,0,1292,4723736,1776965590805313,1776965593422554,1776965596464433,172,ok,,length
115,phase1-prefix-A,,,,0,system-prompt-A,512,true,849,245,0,0,0,0,0,,0,1368,6598561,1776965592680679,1776965593279402,1776965596472295,246,ok,,length
47,phase1-prefix-A,,,,0,system-prompt-A,512,true,575,180,0,0,0,0,0,,0,1105,2681843,1776965588763931,1776965592769436,1776965596493485,181,ok,,length
35,phase1-prefix-A,,,,0,system-prompt-A,512,true,556,251,0,0,0,0,0,,0,1073,2008538,1776965588090153,1776965593265792,1776965596530820,252,ok,,length
99,phase1-prefix-A,,,,0,system-prompt-A,512,true,525,181,0,0,0,0,0,,0,1039,5848042,1776965591929367,1776965593698271,1776965596650025,182,ok,,length
76,phase1-cold,,,,0,,0,true,433,186,0,0,0,0,0,,0,450,4254385,1776965590336228,1776965593409601,1776965596664083,187,ok,,length
42,phase1-prefix-A,,,,0,system-prompt-A,512,true,396,193,0,0,0,0,0,,0,902,2545730,1776965588627043,1776965592690097,1776965596664105,194,ok,,length
12,phase1-prefix-A,,,,0,system-prompt-A,512,true,589,391,0,0,0,0,0,,0,1086,926229,1776965587008181,1776965587079746,1776965596691566,392,ok,,length
124,phase1-prefix-A,,,,0,system-prompt-A,512,true,664,277,0,0,0,0,0,,0,1164,7105116,1776965593186510,1776965593498221,1776965596893919,278,ok,,length
117,phase1-prefix-A,,,,0,system-prompt-A,512,true,488,280,0,0,0,0,0,,0,1016,6640094,1776965592721440,1776965593449597,1776965596905663,281,ok,,length
38,phase1-prefix-A,,,,0,system-prompt-A,512,true,427,212,0,0,0,0,0,,0,917,2108906,1776965588190276,1776965592678333,1776965596920250,213,ok,,length
41,phase1-prefix-A,,,,0,system-prompt-A,512,true,796,215,0,0,0,0,0,,0,1290,2240774,1776965588322433,1776965592689892,1776965596972949,216,ok,,length
23,phase1-cold,,,,0,,0,true,234,225,0,0,0,0,0,,0,237,1357274,1776965587438876,1776965587502369,1776965597016367,226,ok,,length
77,phase1-prefix-A,,,,0,system-prompt-A,512,true,510,213,0,0,0,0,0,,0,1019,4368938,1776965590450799,1776965593422839,1776965597056827,214,ok,,length
24,phase1-cold,,,,0,,0,true,212,228,0,0,0,0,0,,0,218,1362268,1776965587443845,1776965587502353,1776965597056927,229,ok,,length
83,phase1-cold,,,,0,,0,true,240,215,0,0,0,0,0,,0,247,4771489,1776965590852661,1776965593422820,1776965597085029,216,ok,,length
84,phase1-prefix-A,,,,0,system-prompt-A,512,true,356,215,0,0,0,0,0,,0,864,4781512,1776965590863651,1776965593520949,1776965597099249,216,ok,,length
121,phase1-prefix-A,,,,0,system-prompt-A,512,true,491,298,0,0,0,0,0,,0,1001,6838227,1776965592919873,1776965593465279,1776965597203361,299,ok,,length
43,phase1-prefix-A,,,,0,system-prompt-A,512,true,672,232,0,0,0,0,0,,0,1205,2592370,1776965588673731,1776965592690083,1776965597209293,233,ok,,length
98,phase1-prefix-A,,,,0,system-prompt-A,512,true,530,226,0,0,0,0,0,,0,1052,5832409,1776965591913731,1776965593698229,1776965597279352,227,ok,,length
26,phase1-prefix-A,,,,0,system-prompt-A,512,true,339,384,0,0,0,0,0,,0,839,1565609,1776965587647243,1776965587693864,1776965597285576,385,ok,,length
86,phase1-cold,,,,0,,0,true,252,229,0,0,0,0,0,,0,243,4828168,1776965590909702,1776965593520890,1776965597292635,230,ok,,length
70,phase1-prefix-A,,,,0,system-prompt-A,512,true,385,232,0,0,0,0,0,,0,880,3838793,1776965589920653,1776965593409454,1776965597317140,233,ok,,length
88,phase1-prefix-A,,,,0,system-prompt-A,512,true,292,233,0,0,0,0,0,,0,790,4882010,1776965590964049,1776965593520695,1776965597358875,234,ok,,length
123,phase1-prefix-A,,,,0,system-prompt-A,512,true,268,311,0,0,0,0,0,,0,787,7061092,1776965593142617,1776965593498790,1776965597369243,312,ok,,length
91,phase1-prefix-A,,,,0,system-prompt-A,512,true,408,245,0,0,0,0,0,,0,905,4969762,1776965591051188,1776965593606102,1776965597552278,246,ok,,length
97,phase1-prefix-A,,,,0,system-prompt-A,512,true,465,248,0,0,0,0,0,,0,984,5809681,1776965591891351,1776965593697717,1776965597609240,249,ok,,length
107,phase1-prefix-A,,,,0,system-prompt-A,512,true,676,250,0,0,0,0,0,,0,1189,6059978,1776965592141677,1776965594035380,1776965597682478,251,ok,,length
27,phase1-prefix-A,,,,0,system-prompt-A,512,true,472,416,0,0,0,0,0,,0,976,1633350,1776965587714930,1776965587767786,1776965597718397,417,ok,,length
21,phase1-prefix-A,,,,0,system-prompt-A,512,true,558,284,0,0,0,0,0,,0,1053,1285360,1776965587367349,1776965587428107,1776965597812959,285,ok,,length
68,phase1-prefix-A,,,,0,system-prompt-A,512,true,656,269,0,0,0,0,0,,0,1183,3785093,1776965589866842,1776965593309856,1776965597841242,270,ok,,length
